tid	title	ori_work	st_date	ed_date	st_day	st_time	ed_time	channel	ch_name	type
15921	シートン動物記　くまの子ジャッキー	NULL	1977/06/07	1977/12/06	火	19:30	20:00	ABC	ABCテレビ	earth
40461	Yesプリキュア５GoGo（Yes!プリキュア５GoGo！）	original	2008/02/03	2009/01/25	日	08:30	09:00	ABC	ABCテレビ	earth
17139	シートン動物記　りすのバナー（リスのバナー）	NULL	1979/04/07	1979/09/29	土	19:00	19:30	ABC	ABCテレビ	earth
24432	トッポジージョ（トッポ・ジージョ）	NULL	1988/04/27	1988/09/21	水	18:50	19:20	ABC	ABCテレビ	earth
16134	若草のシャルロット Charlotte	NULL	1977/10/29	1978/05/27	土	19:00	19:30	ABC	ABCテレビ	earth
32249	夢のクレヨン王国	NULL	1997/09/07	1999/01/31	日	08:30	09:00	ABC	ABCテレビ	earth
28439	クッキングパパ	NULL	1992/04/09	1995/05/25	木	19:00	19:30	ABC	ABCテレビ	earth
23386	新メイプルタウン物語（新・メイプルタウン物語、メイプルタウン物語　パームタウン編）	NULL	1987/01/18	1987/12/27	日	08:30	09:00	ABC	ABCテレビ	earth
35674	おジャ魔女どれみドッカ～ン！（おジャ魔女どれみドッカーン）	NULL	2002/02/03	2003/01/26	日	08:30	09:00	ABC	ABCテレビ	earth
28560	スーパービックリマン　SUPER BIKKURI MAN	character	1992/05/17	1993/04/04	日	08:30	09:00	ABC	ABCテレビ	earth
24740	新グリム名作劇場	NULL	1988/10/02	1989/03/26	日	10:00	10:30	ABC	ABCテレビ	earth
17525	こぐまのミーシャ	NULL	1979/10/06	1980/04/05	土	19:00	19:30	ABC	ABCテレビ	earth
28987	ママガウロの使える英語	NULL	1992/10/18	1993/12/26	日	19:00	19:30	ABC	ABCテレビ	earth
16207	女王陛下のプティアンジェ（女王陛下のプティ・アンジェ）	NULL	1977/12/13	1978/06/27	火	19:30	20:00	ABC	ABCテレビ	earth
56363	ハピネスチャージプリキュア！	original	2014/02/02	2015/01/25	日	08:30	09:00	ABC	ABCテレビ	earth
63331	HUGっと!プリキュア	original	2018/02/04		日	08:30	09:00	ABC	ABCテレビ	earth
20214	レディジョージィ（レディージョージィ）	NULL	1983/04/09	1984/02/25	土	19:00	19:30	ABC	ABCテレビ	earth
24787	ハーイ　あっこです（ハーイ！あっこです、ハ～イあっこです）	NULL	1988/10/12	1992/03/26	水	18:50	19:20	ABC	ABCテレビ	earth
15476	リトル・ルルとちっちゃい仲間	NULL	1976/10/03	1977/04/03	日	19:00	19:30	ABC	ABCテレビ	earth
56432	がんばれ！おでんくん	NULL	2013/01/12	2015/03/28	土	06:55	07:00	ABC	ABCテレビ	earth
37327	ふたりはプリキュア(1) PRETTY CURE	original	2004/02/01	2005/01/30	日	08:30	09:00	ABC	ABCテレビ	earth
61263	チェインクロニクル　ヘクセイタスの閃	NULL	2017/01/07		土	26:19	26:49	ABC	ABCテレビ	earth
22279	夢の星のボタンノーズ	NULL	1985/10/19	1986/04/26	土	19:00	19:30	ABC	ABCテレビ	earth
6307	日本イソップ	NULL	1962/09/20	1963/09/26	木	18:00	18:15	ABC	ABCテレビ	earth
15282	ピコリーノの冒険　ピノキオより	NULL	1976/04/27	1977/05/31	火	19:30	20:00	ABC	ABCテレビ	earth
56877	FREE!－Eternal Summer－	NULL	2014/07/02	2014/09/24	水	24:00	24:30	ABC	ABCテレビ	earth
38914	ふたりはプリキュア　Splash☆Star スプラッシュ★スター（ふたりはプリキュア　Splash Star　スプラッシュ・スター）	original	2006/02/05	2007/01/28	日	08:30	09:00	ABC	ABCテレビ	earth
54753	ドキドキ！プリキュア DOKIDOKI! PRECURE	original	2013/02/03	2014/01/26	日	08:30	09:00	ABC	ABCテレビ	earth
16396	闘将ダイモス	NULL	1978/04/01	1979/01/27	土	18:00	18:30	ABC	ABCテレビ	earth
21000	とんがり帽子のメモル	NULL	1984/03/03	1985/03/03	土	19:00	19:30	ABC	ABCテレビ	earth
54958	カーニヴァル	NULL	2013/04/03		水	26:43	27:13	ABC	ABCテレビ	earth
33330	おジャ魔女どれみ（おジャ魔女どれみ(1)）	NULL	1999/02/07	2000/01/30	日	08:30	09:00	ABC	ABCテレビ	earth
13100	海のトリトン	NULL	1972/04/01	1972/09/30	土	19:00	19:30	ABC	ABCテレビ	earth
42711	ハートキャッチ　プリキュア！　HEARTCATCH PRECURE!	original	2010/02/07	2011/01/30	日	08:30	09:00	ABC	ABCテレビ	earth
23961	新メイプルタウン物語とビックリマン（新メイプルタウンとビックリマン、ビックリマン、新メイプルタウン物語）	character	1987/10/11	1987/12/27	日	08:30	09:00	ABC	ABCテレビ	earth
34086	おジャ魔女どれみ#（しゃーぷっ）	NULL	2000/02/06	2001/01/28	日	08:30	09:00	ABC	ABCテレビ	earth
61474	キラキラ☆プリキュアアラモード（キラキラ・プリキュアアラモード）	original	2017/02/05	2018/01/28	日	08:30	09:00	ABC	ABCテレビ	earth
34838	も～っと！おジャ魔女どれみ（もーっと！おジャ魔女どれみ、もっと！おジャ魔女…誤り）	NULL	2001/02/04	2002/01/27	日	08:30	09:00	ABC	ABCテレビ	earth
19495	とんでモンペ（とんでモン・ベ、とんでモンベ、とんで・モンペ！）	NULL	1982/06/05	1983/04/02	土	19:00	19:30	ABC	ABCテレビ	earth
55242	サーバント×サービス	NULL	2013/07/04	2013/09/26	木	27:09	27:41	ABC	ABCテレビ	earth
14472	はじめ人間ギャートルズ	NULL	1974/10/05	1976/03/27	土	19:00	19:30	ABC	ABCテレビ	earth
39705	Yes!プリキュア５	original	2007/02/04	2008/01/27	日	08:30	09:00	ABC	ABCテレビ	earth
15830	超合体魔術ロボ　ギンガイザー	NULL	1977/04/09	1977/10/22	土	19:00	19:30	ABC	ABCテレビ	earth
59269	干物妹！うまるちゃん	NULL	2015/07/08	2015/09/23	水	26:14	26:44	ABC	ABCテレビ	earth
57654	TERRAFORWARS	NULL	2014/10/01	2014/12/24	水	26:14	26:44	ABC	ABCテレビ	earth
26606	まじかる★タルるートくん（まじかるタルるートくん）	NULL	1990/09/02	1992/05/10	日	08:30	09:00	ABC	ABCテレビ	earth
24001	グリム名作劇場	NULL	1987/10/21	1988/03/30	水	18:50	19:20	ABC	ABCテレビ	earth
24190	ビックリマン	character	1988/01/10	1989/04/02	日	08:30	09:00	ABC	ABCテレビ	earth
56604	暴れん坊力士!!松太郎	NULL	2014/04/06	2014/09/28	日	06:30	07:00	ABC	ABCテレビ	earth
2711	大安まんが劇場	NULL	1959/11/03	1962/09/13	火	18:00	18:15	ABC	ABCテレビ	earth
18529	おはよう！スパンク（おはようスパンク！）	NULL	1981/03/07	1982/05/29	土	19:00	19:30	ABC	ABCテレビ	earth
58873	放課後のプレアデス	NULL	2015/04/08	2015/06/24	水	26:45	27:15	ABC	ABCテレビ	earth
38114	ふたりはプリキュア(2)Max Heart　マックスハート　PRETTY CURE	original	2005/02/06	2006/01/29	日	08:30	09:00	ABC	ABCテレビ	earth
60032	魔法つかいプリキュア MAHO GIRLS PRECURE!（「魔法」にルビ「まほう」が付く）（誤り…魔法使いプリキュア）	original	2016/02/07	2017/01/29	日	08:30	09:00	ABC	ABCテレビ	earth
30791	H2 エイチツー（途中から　めざせ甲子園！H2）	NULL	1995/06/01	1996/03/21	木	19:00	19:30	ABC	ABCテレビ	earth
58622	Go！プリンセスプリキュア（新聞ラテ欄表記…Go！プリンセスプリキュア）	original	2015/02/01	2016/01/31	日	08:30	09:00	ABC	ABCテレビ	earth
16520	はいからさんが通る	NULL	1978/06/03	1979/03/31	土	19:00	19:30	ABC	ABCテレビ	earth
31005	怪盗セイント・テール（セイントテール）	NULL	1995/10/12	1996/09/12	木	19:30	19:58	ABC	ABCテレビ	earth
31572	花より男子	NULL	1996/09/08	1997/08/31	日	08:30	09:00	ABC	ABCテレビ	earth
43873	スイートプリキュア♪	original	2011/02/06	2012/01/29	日	08:30	09:00	ABC	ABCテレビ	earth
