id	tid	title	company	business
1	38824	鍵姫物語　永久アリス輪舞曲（ロンド）	日本出版販売	books wholesaler
2	38824	鍵姫物語　永久アリス輪舞曲（ロンド）	ランティス	record company
3	38824	鍵姫物語　永久アリス輪舞曲（ロンド）	アミューズソフトエンタテインメント株式会社	video producer
4	38824	鍵姫物語　永久アリス輪舞曲（ロンド）	TRINET ENTERTAINMENT	anime production
5	38824	鍵姫物語　永久アリス輪舞曲（ロンド）	Picture Magic	anime maker
6	38811	マジカノ	GDH	anime production
7	38811	マジカノ	東京キッズ	anime maker
8	38811	マジカノ	AT-X	tv station
9	38811	マジカノ	株式会社ダックスインターナショナル	right management
10	38811	マジカノ	ベストフィールド	video producer
12	38829	落語天女おゆい	東芝エンタテインメント	video producer
13	38829	落語天女おゆい	スリーファットサムライ/ソルブレイド	record company
14	38829	落語天女おゆい	アミューズソフトエンタテインメント	video producer
15	38829	落語天女おゆい	マウスプロモーション	talent management
16	38829	落語天女おゆい	ティー・エヌ・ケー	anime maker
17	63452	LEMON ANGEL PROJECT（レモンエンジェルプロジェクト）	IMAGICA	video post production
18	63452	LEMON ANGEL PROJECT（レモンエンジェルプロジェクト）	Avex Entertainment	record company
19	63452	LEMON ANGEL PROJECT（レモンエンジェルプロジェクト）	AMGエンタテインメント	anime production
20	63452	LEMON ANGEL PROJECT（レモンエンジェルプロジェクト）	GENCO	right management
21	357000	タクティカルロア	バンダイビジュアル	anime production
22	357000	タクティカルロア	アクタス	anime maker
23	369400	Funny Pets(1)	ランブルフィッシュ	video producer
24	369400	Funny Pets(1)	tvk	tv station
25	369400	Funny Pets(1)	KBS京都	tv station
26	369400	Funny Pets(1)	レントラックジャパン	video producer
27	369400	Funny Pets(1)	S1-T3CG	anime maker
28	369500	Funny Pets(2) 2ndシーズン	ランブルフィッシュ	video producer
29	369500	Funny Pets(2) 2ndシーズン	tvk	tv station
30	369500	Funny Pets(2) 2ndシーズン	KBS京都	tv station
31	369500	Funny Pets(2) 2ndシーズン	レントラックジャパン	video producer
32	369500	Funny Pets(2) 2ndシーズン	S1-T3CG	anime maker
37	39041	魔界戦記ディスガイア	ディーライツ	right management
38	39041	魔界戦記ディスガイア	日本一ソフトウェア	game maker
39	39041	魔界戦記ディスガイア	NBCユニバーサル・エンターテイメントジャパン	video producer
40	357200	Soul Link	インターチャネル	video producer
41	357200	Soul Link	NBCユニバーサル・エンターテイメントジャパン	video producer
42	357200	Soul Link	AT-X	tv station
43	357200	Soul Link	オンザラン	record company
44	357200	Soul Link	東京電化	disk maker
45	357300	吉永さん家のガーゴイル	ENTERBRAIN	publishing company
46	357300	吉永さん家のガーゴイル	Avex Entertainment	record company
47	357300	吉永さん家のガーゴイル	TRINET ENTERTAINMENT	anime production
48	357300	吉永さん家のガーゴイル	ハピネット	goods wholesale
49	39012	涼宮ハルヒの憂鬱	角川書店	publishing company
50	39012	涼宮ハルヒの憂鬱	角川映画	film producer
51	39012	涼宮ハルヒの憂鬱	京都アニメーション	anime maker
52	39012	涼宮ハルヒの憂鬱	KlockWorx	video producer
53	39021	Strauberry Panic	Marvelous	video producer
54	39021	Strauberry Panic	ランティス	record company
55	39021	Strauberry Panic	読売広告社	ad agent
56	39021	Strauberry Panic	ドワンゴ	game company
57	39021	Strauberry Panic	オプトロム	disk maker
58	39021	Strauberry Panic	Movic	goods wholesale
59	41980	女子高生　GIRL'S HIGH	東芝エンタテインメント	video producer
60	41980	女子高生　GIRL'S HIGH	NBCユニバーサル・エンターテイメントジャパン	video producer
61	41980	女子高生　GIRL'S HIGH	双葉社	publishing company
62	41980	女子高生　GIRL'S HIGH	GENCO	right management
63	39024	うたわれるもの	AQUAPLUS	game company
64	39024	うたわれるもの	IMAGICA	video post production
65	39024	うたわれるもの	vap	video producer
66	39024	うたわれるもの	ランティス	record company
67	44328	錬金３級　まじかる？ぽか?ん	メディアファクトリー	publishing company
68	44328	錬金３級　まじかる？ぽか?ん	日本出版販売	books wholesaler
69	44328	錬金３級　まじかる？ぽか?ん	GENCO	right management
70	39054	アニメ　吉宗	株式会社大都技研	pachinko maker
71	39054	アニメ　吉宗	GDH	anime production
72	56266	西の善き魔女 Astraea Testament	マッグガーデン	publishing company
73	56266	西の善き魔女 Astraea Testament	IMAGICA	video post production
74	56266	西の善き魔女 Astraea Testament	NBCユニバーサル・エンターテイメントジャパン	video producer
75	56266	西の善き魔女 Astraea Testament	ランティス	record company
76	56266	西の善き魔女 Astraea Testament	Tablier Communications	it company
77	56706	夢使い	PONY CANYON	video producer
78	56706	夢使い	MAD HOUSE	anime maker
79	56706	夢使い	NAS	ad agnent
80	39073	ひまわりっ！	KING RECORD	record company
81	39073	ひまわりっ！	東北新社	film producer
82	39073	ひまわりっ！	GENCO	right management
83	39068	BLACK LAGOON(1)	NBCユニバーサル・エンターテイメントジャパン	video producer
84	39068	BLACK LAGOON(1)	小学館	publishing company
85	39068	BLACK LAGOON(1)	Geneon Entertainment USA	video producer
86	39208	ゼロの使い魔(1)	メディアファクトリー	publishing company
87	39208	ゼロの使い魔(1)	松竹	film producer
88	39208	ゼロの使い魔(1)	GENCO	right management
89	39201	つよきす Cool×Sweet	プリンセスソフト	game company
90	39201	つよきす Cool×Sweet	メディアファクトリー	publishing company
91	46621	無敵看板娘	東芝エンタテインメント	video producer
92	46621	無敵看板娘	NBCユニバーサル・エンターテイメントジャパン	video producer
93	46621	無敵看板娘	読売広告社	ad agent
94	46621	無敵看板娘	讀賣テレビ放送	tv station
95	46621	無敵看板娘	テレコム・アニメーションフィルム	anime maker
96	39232	となグラ！　TONA GURA!	JIVE	publishing company
97	39232	となグラ！　TONA GURA!	KING RECORD	record company
98	39399	らぶドル～Lovely Idol～	Avex Entertainment	record company
99	39399	らぶドル～Lovely Idol～	ENTERBRAIN	publishing company
100	39399	らぶドル～Lovely Idol～	PONY CANYON	video producer
101	39399	らぶドル～Lovely Idol～	Fifth Avenue	disk maker
102	39421	Gift ～eternal rainbow～（ギフト　～エターナル　レインボー～）	IMAGICA	video post production
103	39421	Gift ～eternal rainbow～（ギフト　～エターナル　レインボー～）	メディアファクトリー	publishing company
104	39421	Gift ～eternal rainbow～（ギフト　～エターナル　レインボー～）	ランティス	record company
105	39421	Gift ～eternal rainbow～（ギフト　～エターナル　レインボー～）	MOONSTONE	game company
106	39432	乙女はお姉さまに恋してる	HOBIBOX	game wholesale
107	39432	乙女はお姉さまに恋してる	文化放送	radio station
